instance Boomer-SAT-W2 XGBoost-MaxSAT
instance588 0.001 0.007
instance589 0.001 0.003
instance590 0.001 0.003
instance591 0.001 0.003
instance592 0.001 0.007
instance593 0.001 0.004
instance594 0.001 0.004
instance595 0.001 0.004
instance596 0.001 0.004
instance597 0.001 0.006
instance598 0.001 0.005
instance599 0.001 0.003
instance600 0.001 0.003
instance601 0.001 0.003
instance602 0.001 0.003
instance603 0.001 0.003
instance604 0.001 0.003
instance605 0.001 0.004
instance606 0.001 0.006
instance607 0.001 0.004
instance608 0.001 0.004
instance609 0.001 0.007
instance610 0.001 0.004
instance611 0.001 0.003
instance612 0.001 0.003
instance613 0.001 0.004
instance614 0.001 0.002
instance615 0.001 0.003
instance616 0.001 0.003
instance617 0.001 0.003
instance618 0.001 0.003
instance619 0.001 0.003
instance620 0.001 0.005
instance621 0.001 0.003
instance622 0.001 0.003
instance623 0.001 0.003
instance624 0.001 0.006
instance625 0.001 0.003
instance626 0.001 0.003
instance627 0.001 0.004
instance628 0.001 0.003
instance629 0.001 0.004
instance630 0.001 0.004
instance631 0.001 0.003
instance632 0.001 0.003
instance633 0.001 0.002
instance634 0.001 0.003
instance635 0.001 0.002
instance636 0.001 0.003
instance637 0.001 0.003
instance638 0.001 0.003
instance639 0.001 0.004
instance640 0.001 0.004
instance641 0.001 0.006
instance642 0.001 0.004
instance643 0.001 0.004
instance644 0.001 0.004
instance645 0.001 0.003
instance646 0.001 0.004
instance647 0.001 0.003
instance648 0.001 0.008
instance649 0.001 0.002
instance650 0.001 0.003
instance651 0.001 0.004
instance652 0.001 0.004
instance653 0.001 0.008
instance654 0.001 0.004
instance655 0.09 0.063
instance656 0.08 0.034
instance657 0.041 0.056
instance658 0.066 0.037
instance659 0.052 0.041
instance660 0.038 0.032
instance661 0.062 0.055
instance662 0.061 0.036
instance663 0.045 0.032
instance664 0.05 0.067
instance665 0.046 0.026
instance666 0.049 0.038
instance667 0.067 0.043
instance668 0.053 0.07
instance669 0.04 0.034
instance670 0.077 0.063
instance671 0.06 0.065
instance672 0.055 0.037
instance673 0.063 0.043
instance674 0.041 0.035
instance675 0.058 0.081
instance676 0.062 0.059
instance677 0.045 0.05
instance678 0.04 0.04
instance679 0.056 0.037
instance680 0.021 0.029
instance681 0.068 0.061
instance682 0.052 0.045
instance683 0.098 0.059
instance684 0.057 0.037
instance685 0.039 0.058
instance686 0.075 0.046
instance687 0.035 0.04
instance688 0.082 0.043
instance689 0.048 0.04
instance690 0.058 0.054
instance691 0.072 0.062
instance692 0.04 0.064
instance693 0.064 0.085
instance694 0.051 0.037
instance695 0.053 0.041
instance696 0.059 0.034
instance697 0.05 0.033
instance698 0.067 0.064
instance699 0.074 0.031
instance700 0.067 0.044
instance701 0.064 0.034
instance702 0.078 0.042
instance703 0.041 0.044
instance704 0.074 0.057
instance705 0.046 0.04
instance706 0.067 0.037
instance707 0.057 0.06
instance708 0.061 0.063
instance709 0.066 0.038
instance710 0.063 0.056
instance711 0.038 0.036
instance712 0.037 0.039
instance713 0.032 0.037
instance714 0.067 0.037
instance715 0.049 0.037
instance716 0.04 0.036
instance717 0.062 0.028
instance718 0.035 0.039
instance719 0.035 0.043
instance720 0.03 0.036
instance721 0.055 0.036
instance722 0.027 0.028
instance723 0.04 0.039
instance724 0.051 0.031
instance725 0.054 0.068
instance726 0.033 0.036
instance727 0.049 0.037
instance728 0.053 0.032
instance729 0.073 0.053
instance730 0.056 0.065
instance731 0.057 0.033
instance732 0.034 0.025
instance733 0.069 0.08
instance734 0.046 0.041
instance735 0.035 0.038
instance736 0.068 0.081
instance737 0.072 0.036
instance738 0.053 0.041
instance739 0.054 0.039
instance740 0.038 0.035
instance741 0.063 0.038
instance742 0.065 0.047
instance743 0.065 0.063
instance744 0.075 0.038
instance745 0.026 0.044
instance746 0.05 0.039
instance747 0.063 0.061
instance748 0.044 0.021
instance749 0.079 0.063
instance750 0.077 0.068
instance751 0.045 0.031
instance752 0.078 0.03
instance753 0.045 0.037
instance754 0.056 0.062
instance755 0.075 0.033
instance756 0.039 0.038
instance757 0.04 0.038
instance758 0.035 0.045
instance759 0.048 0.038
instance760 0.046 0.031
instance761 0.079 0.069
instance762 0.025 0.033
instance763 0.047 0.038
instance764 0.017 0.037
instance765 0.038 0.041
instance766 0.072 0.035
instance767 0.079 0.066
instance768 0.046 0.026
instance769 0.08 0.06
instance770 0.073 0.065
instance771 0.058 0.065
instance772 0.068 0.064
instance773 0.065 0.071
instance774 0.056 0.066
instance775 0.027 0.057
instance776 0.071 0.066
instance777 0.073 0.077
instance778 0.053 0.035
instance779 0.033 0.04
instance780 0.045 0.037
instance781 0.031 0.065
instance782 0.045 0.037
instance783 0.062 0.042
instance784 0.053 0.065
instance785 0.052 0.038
instance786 0.051 0.045
instance787 0.074 0.035
instance788 0.069 0.074
instance789 0.051 0.038
instance790 0.051 0.028
instance791 0.044 0.035
instance792 0.072 0.043
instance793 0.055 0.063
instance794 0.085 0.053
instance795 0.06 0.067
instance796 0.062 0.037
instance797 0.039 0.044
instance798 0.055 0.042
instance799 0.088 0.038
instance800 0.045 0.03
instance801 0.07 0.04
instance802 0.046 0.041
instance803 0.07 0.065
instance804 0.042 0.04
instance805 0.043 0.04
instance806 0.044 0.04
instance807 0.039 0.043
instance808 0.061 0.031
instance809 0.039 0.037
instance810 0.078 0.082
instance811 0.059 0.038
instance812 0.076 0.062
instance813 0.031 0.045
instance814 0.078 0.025
instance815 0.071 0.071
instance816 0.035 0.024
instance817 0.058 0.039
instance818 0.048 0.031
instance819 0.035 0.042
instance820 0.053 0.035
instance821 0.037 0.038
instance822 0.059 0.036
instance823 0.037 0.042
instance824 0.065 0.055
instance825 0.055 0.069
instance826 0.064 0.067
instance827 0.042 0.031
instance828 0.037 0.038
instance829 0.052 0.043
instance830 0.069 0.072
instance831 0.055 0.068
instance832 0.055 0.056
instance833 0.046 0.048
instance834 0.064 0.038
instance835 0.052 0.039
instance836 0.054 0.038
instance837 0.059 0.067
instance838 0.083 0.042
instance839 0.055 0.034
instance840 0.033 0.021
instance841 0.046 0.037
instance842 0.049 0.039
instance843 0.047 0.037
instance844 0.063 0.035
instance845 0.067 0.031
instance846 0.047 0.023
instance847 0.045 0.044
instance848 0.057 0.075
instance849 0.051 0.041
instance850 0.045 0.043
instance851 0.069 0.085
instance852 0.033 0.049
instance853 0.041 0.036
instance854 0.066 0.065
instance855 0.001 0.04
instance856 0.001 0.033
instance857 0.001 0.041
instance858 0.001 0.167
instance859 0.001 0.033
instance860 0.001 0.038
instance861 0.001 0.05
instance862 0.002 0.028
instance863 0.001 0.034
instance864 0.001 0.029
instance865 0.001 0.046
instance866 0.001 0.05
instance867 0.001 0.032
instance868 0.001 0.031
instance869 0.001 0.038
instance870 0.001 0.033
instance871 0.001 0.042
instance872 0.001 0.049
instance873 0.001 0.048
instance874 0.001 0.045
instance875 0.001 0.037
instance876 0.001 0.034
instance877 0.001 0.043
instance878 0.001 0.039
instance879 0.001 0.048
instance880 0.001 0.035
instance881 0.001 0.036
instance882 0.001 0.054
instance883 0.001 0.036
instance884 0.001 0.041
instance885 0.001 0.04
instance886 0.001 0.043
instance887 0.001 0.044
instance888 0.001 0.048
instance889 0.001 0.042
instance890 0.001 0.032
instance891 0.001 0.045
instance892 0.001 0.032
instance893 0.001 0.036
instance894 0.001 0.042
instance895 0.001 0.065
instance896 0.002 0.031
instance897 0.001 0.044
instance898 0.001 0.043
instance899 0.001 0.04
instance900 0.001 0.033
instance901 0.001 0.038
instance902 0.001 0.043
instance903 0.001 0.057
instance904 0.001 0.041
instance905 0.001 0.043
instance906 0.001 0.038
instance907 0.001 0.046
instance908 0.001 0.045
instance909 0.001 0.04
instance910 0.001 0.044
instance911 0.001 0.042
instance912 0.001 0.053
instance913 0.001 0.043
instance914 0.001 0.039
