instance Boomer-SAT-W2 Boomer-MaxSAT
instance537 0.001 0.002
instance538 0.001 0.002
instance539 0.001 0.004
instance540 0.001 0.003
instance541 0.001 0.001
instance542 0.001 0.001
instance543 0.001 0.002
instance544 0.001 0.002
instance545 0.001 0.002
instance546 0.001 0.003
instance547 0.001 0.002
instance548 0.001 0.001
instance549 0.001 0.002
instance550 0.001 0.001
instance551 0.001 0.002
instance552 0.001 0.002
instance553 0.001 0.003
instance554 0.001 0.003
instance555 0.001 0.004
instance556 0.001 0.004
instance557 0.001 0.002
instance558 0.001 0.001
instance559 0.001 0.002
instance560 0.001 0.002
instance561 0.001 0.002
instance562 0.001 0.001
instance563 0.001 0.002
instance564 0.001 0.002
instance565 0.001 0.002
instance566 0.001 0.004
instance567 0.001 0.002
instance568 0.001 0.004
instance569 0.001 0.002
instance570 0.001 0.001
instance571 0.001 0.002
instance572 0.001 0.002
instance573 0.001 0.002
instance574 0.001 0.003
instance575 0.001 0.002
instance576 0.001 0.002
instance577 0.001 0.001
instance578 0.001 0.002
instance579 0.001 0.002
instance580 0.001 0.002
instance581 0.001 0.002
instance582 0.001 0.003
instance583 0.001 0.002
instance584 0.001 0.001
instance585 0.001 0.001
instance586 0.001 0.002
instance587 0.001 0.002
instance588 0.001 0.002
instance589 0.001 0.002
instance590 0.001 0.002
instance591 0.001 0.001
instance592 0.001 0.001
instance593 0.001 0.001
instance594 0.001 0.002
instance595 0.001 0.002
instance596 0.001 0.002
instance597 0.001 0.001
instance598 0.001 0.003
instance599 0.001 0.003
instance600 0.001 0.001
instance601 0.001 0.001
instance602 0.001 0.002
instance603 0.001 0.003
instance604 0.001 0.001
instance605 0.001 0.001
instance606 0.001 0.002
instance607 0.001 0.002
instance608 0.001 0.002
instance609 0.001 0.002
instance610 0.001 0.002
instance611 0.001 0.001
instance612 0.001 0.002
instance613 0.001 0.001
instance614 0.001 0.003
instance615 0.001 0.002
instance616 0.001 0.002
instance617 0.001 0.002
instance618 0.001 0.002
instance619 0.001 0.002
instance620 0.001 0.002
instance621 0.001 0.001
instance622 0.001 0.002
